,Origin Time,Year,Latitude,Longitude,Depth,Magnitude,Location,Place,color
1532,2020-07-10 09:56:30,2020,28.99,98.73,86.4,4.4,"246km NE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
2187,2020-02-24 01:03:22,2020,25.8,97.2,10.0,3.8,"222km SSE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
1837,2020-05-01 21:23:10,2020,25.9,95.2,100.0,3.0,"83km SE of Mokokchung, Nagaland, India", Nagaland,7
2189,2020-02-23 13:01:41,2020,25.5,97.4,39.0,3.8,"260km SSE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
1838,2020-05-01 08:33:54,2020,26.0,94.8,19.0,3.6,"45km SE of Mokokchung, Nagaland, India", Nagaland,7
215,2021-05-22 07:18:16,2021,25.78,99.01,10.0,4.1,"320km SE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
389,2021-04-19 01:53:51,2021,25.74,95.28,89.0,4.3,"100km SE of Mokokchung, Nagaland, India", Nagaland,7
1502,2020-07-16 15:22:31,2020,23.98,96.6,10.0,3.6,"239km ESE of Ukhrul, Manipur, India", Manipur,7
1254,2020-09-07 11:58:25,2020,26.47,95.85,10.0,4.3,"134km E of Mokokchung, Nagaland, India", Nagaland,7
222,2021-05-21 23:21:00,2021,26.26,96.94,10.0,2.9,"167km S of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
1516,2020-07-14 08:32:59,2020,26.56,94.87,10.0,3.5,"44km NE of Mokokchung, Nagaland, India", Nagaland,7
2552,2019-11-18 04:17:22,2019,26.7,94.1,10.0,2.2,"11km WSW of Jorhat, Assam, India", Assam,7
894,2020-11-22 08:59:20,2020,26.31,94.63,23.2,4.4,"11km E of Mokokchung, Nagaland, India", Nagaland,7
599,2021-02-24 20:49:19,2021,26.02,95.45,83.0,4.2,"99km ESE of Mokokchung, Nagaland, India", Nagaland,7
2425,2019-12-30 02:48:14,2019,26.6,95.0,22.0,3.1,"57km ENE of Mokokchung, Nagaland, India", Nagaland,7
206,2021-05-22 17:44:52,2021,25.59,99.08,10.0,4.3,"340km SE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
2159,2020-03-01 04:23:51,2020,27.9,94.2,5.0,3.2,"48km W of Basar, Arunachal Pradesh, India", Arunachal Pradesh,7
2147,2020-03-04 05:49:58,2020,24.3,96.5,10.0,4.2,"216km ESE of Ukhrul, Manipur, India", Manipur,7
1107,2020-10-11 17:14:52,2020,25.32,97.45,10.0,3.7,"281km SSE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
2142,2020-03-05 12:29:55,2020,25.6,96.9,13.0,4.3,"239km S of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
1105,2020-10-11 20:57:30,2020,27.82,97.39,121.0,3.8,"74km E of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
568,2021-03-02 22:28:13,2021,25.17,95.31,10.0,2.6,"87km ENE of Ukhrul, Manipur, India", Manipur,7
794,2020-12-27 03:18:20,2020,27.41,96.55,10.0,3.5,"38km SSW of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
1003,2020-11-01 08:01:37,2020,27.44,96.3,10.0,3.4,"47km SW of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
797,2020-12-26 03:23:50,2020,25.7,94.7,30.0,2.8,"59km E of Kohima, Nagaland, India", Nagaland,7
798,2020-12-26 02:01:49,2020,26.06,95.38,120.0,3.6,"91km ESE of Mokokchung, Nagaland, India", Nagaland,7
878,2020-12-02 12:44:24,2020,27.49,94.34,60.0,3.1,"56km W of Dibrugarh, Assam, India", Assam,7
223,2021-05-21 23:06:20,2021,25.77,99.16,10.0,4.0,"332km SE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
704,2021-01-27 00:08:40,2021,26.27,95.69,10.0,3.8,"117km E of Mokokchung, Nagaland, India", Nagaland,7
224,2021-05-21 20:54:00,2021,26.06,98.46,30.0,4.3,"259km SE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
1621,2020-06-22 12:40:24,2020,25.77,94.54,6.6,2.8,"44km ENE of Kohima, Nagaland, India", Nagaland,7
2626,2019-10-19 08:25:07,2019,26.7,95.1,12.0,3.7,"71km NE of Mokokchung, Nagaland, India", Nagaland,7
956,2020-11-10 06:29:52,2020,26.49,94.98,5.0,2.7,"50km ENE of Mokokchung, Nagaland, India", Nagaland,7
2579,2019-11-09 12:46:54,2019,26.4,95.5,33.0,3.5,"98km E of Mokokchung, Nagaland, India", Nagaland,7
711,2021-01-24 14:01:02,2021,27.79,95.04,10.0,3.0,"37km NNE of Dibrugarh, Assam, India", Assam,7
2581,2019-11-07 02:26:57,2019,28.1,95.5,15.0,3.1,"22km E of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,7
1299,2020-08-24 03:36:12,2020,27.7,96.79,120.0,3.7,"15km ESE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
701,2021-01-28 00:26:25,2021,25.96,95.66,16.0,3.5,"121km ESE of Mokokchung, Nagaland, India", Nagaland,7
692,2021-01-31 19:16:05,2021,26.28,95.73,110.0,3.6,"121km E of Mokokchung, Nagaland, India", Nagaland,7
2287,2020-01-31 16:25:25,2020,24.6,97.8,10.0,4.4,"337km E of Ukhrul, Manipur, India", Manipur,7
1665,2020-06-14 08:09:57,2020,26.7,96.2,112.0,4.4,"123km SSW of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
2283,2020-02-01 15:14:01,2020,28.8,95.5,49.0,5.1,"76km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,7
1218,2020-09-11 23:39:10,2020,24.65,96.06,5.0,3.6,"162km E of Ukhrul, Manipur, India", Manipur,7
308,2021-05-03 16:11:29,2021,25.9,95.21,53.9,3.5,"83km ESE of Mokokchung, Nagaland, India", Nagaland,7
1706,2020-06-02 07:14:41,2020,24.7,96.3,100.0,3.9,"185km E of Ukhrul, Manipur, India", Manipur,7
115,2021-06-20 01:02:07,2021,28.89,94.79,17.0,3.1,"95km NNW of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,7
737,2021-01-17 12:29:51,2021,26.0,96.53,10.0,3.9,"194km S of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
88,2021-07-04 22:27:15,2021,26.22,96.31,45.0,3.8,"172km S of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
1606,2020-06-25 03:03:41,2020,26.17,94.24,6.0,3.8,"9km NNW of Wokha, Nagaland, India", Nagaland,7
801,2020-12-24 20:44:01,2020,25.47,96.25,100.0,3.9,"187km ENE of Ukhrul, Manipur, India", Manipur,7
2368,2020-01-17 03:43:35,2020,25.5,95.0,104.0,3.2,"71km NE of Shirui, Manipur, India", Manipur,7
2193,2020-02-23 05:12:35,2020,25.7,94.9,30.0,3.4,"77km ESE of Wokha, Nagaland, India", Nagaland,7
2362,2020-01-18 03:16:05,2020,25.1,95.6,33.0,3.2,"114km E of Ukhrul, Manipur, India", Manipur,7
735,2021-01-17 19:12:57,2021,24.29,96.77,10.0,3.7,"242km ESE of Ukhrul, Manipur, India", Manipur,7
138,2021-06-12 15:30:51,2021,24.85,97.85,19.0,4.9,"340km E of Ukhrul, Manipur, India", Manipur,7
2563,2019-11-15 00:57:43,2019,27.2,95.3,10.0,2.6,"48km SE of Dibrugarh, Assam, India", Assam,7
225,2021-05-21 20:01:22,2021,25.88,99.35,10.0,5.0,"339km SE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
226,2021-05-21 19:18:41,2021,25.67,99.96,100.0,5.8,"402km SE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
2343,2020-01-21 02:21:18,2020,26.2,96.2,160.0,2.9,"168km E of Mokokchung, Nagaland, India", Nagaland,7
130,2021-06-15 20:16:07,2021,26.65,97.0,10.0,4.4,"126km SSE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
248,2021-05-15 05:09:53,2021,26.28,95.26,81.0,4.2,"74km E of Mokokchung, Nagaland, India", Nagaland,7
979,2020-11-06 08:36:49,2020,25.12,96.34,106.0,4.1,"188km E of Ukhrul, Manipur, India", Manipur,7
2335,2020-01-23 11:08:47,2020,27.1,94.1,36.0,2.8,"40km NNW of Jorhat, Assam, India", Assam,7
372,2021-04-24 00:53:23,2021,28.53,94.56,10.0,2.8,"62km NNW of Basar, Arunachal Pradesh, India", Arunachal Pradesh,7
969,2020-11-08 14:42:25,2020,28.65,96.26,10.0,4.2,"107km NNW of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
2369,2020-01-16 22:09:22,2020,28.4,95.3,10.0,2.7,"28km N of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,7
1205,2020-09-15 23:30:58,2020,25.38,95.06,155.0,3.7,"70km ENE of Shirui, Manipur, India", Manipur,7
2119,2020-03-10 00:42:41,2020,25.7,94.5,10.0,2.7,"39km E of Kohima, Nagaland, India", Nagaland,7
832,2020-12-16 20:10:16,2020,27.7,94.2,10.0,3.1,"57km WSW of Basar, Arunachal Pradesh, India", Arunachal Pradesh,7
534,2021-03-10 20:33:33,2021,26.38,95.98,110.0,3.6,"146km E of Mokokchung, Nagaland, India", Nagaland,7
533,2021-03-10 21:58:42,2021,26.25,95.23,80.0,3.2,"71km E of Mokokchung, Nagaland, India", Nagaland,7
1068,2020-10-21 01:25:42,2020,27.43,96.56,15.0,4.2,"35km SSW of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
492,2021-03-22 23:28:09,2021,25.24,95.02,10.0,3.3,"61km ENE of Shirui, Manipur, India", Manipur,7
1382,2020-08-05 04:07:00,2020,26.75,97.38,253.0,4.0,"132km SE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
2693,2019-08-26 08:19:15,2019,26.6,96.0,80.0,5.1,"142km SSW of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
2525,2019-11-25 22:23:20,2019,28.3,94.5,10.0,3.1,"40km NNW of Basar, Arunachal Pradesh, India", Arunachal Pradesh,7
6,2021-07-30 03:33:16,2021,27.9,94.2,10.0,3.0,"48km W of Basar, Arunachal Pradesh, India", Arunachal Pradesh,7
812,2020-12-23 16:37:02,2020,27.17,96.05,150.0,3.7,"86km SW of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
186,2021-05-27 20:34:07,2021,26.54,99.5,10.0,4.0,"312km ESE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
516,2021-03-16 11:15:21,2021,26.08,94.4,18.0,3.5,"14km E of Wokha, Nagaland, India", Nagaland,7
500,2021-03-21 10:06:32,2021,25.85,95.08,10.0,4.2,"77km SE of Mokokchung, Nagaland, India", Nagaland,7
1280,2020-08-30 01:03:30,2020,25.92,94.61,21.0,2.5,"39km ESE of Wokha, Nagaland, India", Nagaland,7
2069,2020-03-23 03:11:22,2020,25.6,97.3,155.0,3.0,"247km SSE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
1050,2020-10-24 04:06:32,2020,28.36,97.47,10.0,3.6,"106km NE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
2490,2019-12-05 19:49:31,2019,25.7,95.1,75.0,3.8,"90km SE of Mokokchung, Nagaland, India", Nagaland,7
2000,2020-04-02 23:05:34,2020,26.2,97.0,20.0,3.6,"175km SSE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
856,2020-12-10 00:24:19,2020,26.54,96.66,145.0,4.1,"133km S of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
1043,2020-10-24 17:49:56,2020,26.48,95.2,70.0,3.2,"70km ENE of Mokokchung, Nagaland, India", Nagaland,7
857,2020-12-10 00:06:45,2020,26.703,95.313,10.0,2.5,"90km ENE of Mokokchung, Nagaland, India", Nagaland,7
806,2020-12-24 13:39:52,2020,25.58,96.53,100.0,4.6,"217km ESE of Mokokchung, Nagaland, India", Nagaland,7
467,2021-03-29 16:15:16,2021,26.24,95.48,100.0,3.9,"96km E of Mokokchung, Nagaland, India", Nagaland,7
442,2021-04-06 03:42:16,2021,27.55,95.54,39.0,2.7,"62km E of Dibrugarh, Assam, India", Assam,7
1304,2020-08-23 18:48:14,2020,26.241,95.44,102.0,4.4,"92km E of Mokokchung, Nagaland, India", Nagaland,7
1312,2020-08-22 12:41:05,2020,27.82,94.19,10.0,3.5,"52km WSW of Basar, Arunachal Pradesh, India", Arunachal Pradesh,7
161,2021-06-02 09:38:25,2021,26.55,96.05,10.0,3.6,"144km SSW of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
846,2020-12-13 00:14:59,2020,26.85,94.42,10.0,2.6,"24km ENE of Jorhat, Assam, India", Assam,7
1270,2020-09-01 07:36:52,2020,26.37,96.67,190.0,3.4,"152km S of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
805,2020-12-24 16:51:29,2020,25.79,96.46,150.0,3.6,"203km ESE of Mokokchung, Nagaland, India", Nagaland,7
804,2020-12-24 18:17:15,2020,25.69,96.55,198.0,3.9,"215km ESE of Mokokchung, Nagaland, India", Nagaland,7
2117,2020-03-10 01:48:36,2020,27.8,94.3,10.0,2.5,"43km WSW of Basar, Arunachal Pradesh, India", Arunachal Pradesh,7
1298,2020-08-24 18:36:08,2020,25.63,96.44,90.0,4.0,"207km ESE of Mokokchung, Nagaland, India", Nagaland,7
547,2021-03-08 15:35:00,2021,25.29,94.97,97.0,4.0,"58km ENE of Shirui, Manipur, India", Manipur,7
1429,2020-07-25 21:28:55,2020,29.2,94.29,160.0,4.2,"141km NNW of Basar, Arunachal Pradesh, India", Arunachal Pradesh,7
848,2020-12-12 20:39:27,2020,26.46,94.58,5.0,2.6,"16km NNE of Mokokchung, Nagaland, India", Nagaland,7
2101,2020-03-15 18:40:44,2020,29.0,95.2,30.0,4.0,"95km N of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,7
1412,2020-07-29 11:38:08,2020,25.99,94.96,16.0,3.6,"57km SE of Mokokchung, Nagaland, India", Nagaland,7
847,2020-12-12 20:41:37,2020,26.88,96.18,10.0,3.3,"106km SSW of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,7
2636,2019-10-13 10:36:34,2019,28.0,73.4,10.0,4.5,"9km ESE of Bikaner, Rajasthan, India", Rajasthan,8
2223,2020-02-15 17:22:07,2020,28.6,76.6,9.0,2.3,"5km W of Jhajjar, Haryana", Haryana,8
1612,2020-06-24 12:58:13,2020,28.83,76.75,5.0,2.8,"15km ESE of Rohtak, Haryana, India", Haryana,8
978,2020-11-06 16:39:18,2020,28.78,76.78,5.0,2.1,"21km SE of Rohtak, Haryana, India", Haryana,8
362,2021-04-27 19:10:43,2021,28.98,76.72,10.0,3.0,"14km NE of Rohtak, Haryana, India", Haryana,8
827,2020-12-17 23:46:46,2020,28.19,76.67,25.0,4.2,"46km SW of Gurugram, Haryana, India", Haryana,8
2261,2020-02-08 02:34:32,2020,28.98,76.71,5.0,2.1,"13km NE of Rohtak, Haryana, India", Haryana,8
643,2021-02-15 01:25:59,2021,28.91,76.99,5.0,2.7,"37km E of Rohtak, Haryana, India", Haryana,8
1597,2020-06-26 15:32:36,2020,28.83,76.77,10.0,2.8,"17km ESE of Rohtak, Haryana, India", Haryana,8
1692,2020-06-07 11:55:31,2020,28.7,76.7,5.0,1.8,"11km NNE of Jhajjar, Haryana", Haryana,8
716,2021-01-22 02:04:47,2021,28.6,77.0,5.0,1.9,"15km N of Gurugram, Haryana, India", Haryana,8
2627,2019-10-19 06:36:18,2019,28.6,76.5,5.0,3.3,"15km W of Jhajjar, Haryana", Haryana,8
1607,2020-06-25 01:30:11,2020,28.98,76.72,7.0,2.2,"14km NE of Rohtak, Haryana, India", Haryana,8
1690,2020-06-08 13:00:34,2020,28.85,76.76,19.0,2.1,"15km ESE of Rohtak, Haryana, India", Haryana,8
1720,2020-05-29 22:00:07,2020,28.8,76.7,10.0,2.9,"14km SE of Rohtak, Haryana, India", Haryana,8
1761,2020-05-19 09:21:09,2020,27.88,75.82,20.0,3.2,"107km N of Jaipur, Rajasthan, India", Rajasthan,8
2510,2019-11-28 22:43:55,2019,28.4,76.7,12.0,2.1,"23km SSE of Jhajjar, Haryana", Haryana,8
1721,2020-05-29 21:08:40,2020,28.8,76.7,15.0,4.5,"14km SE of Rohtak, Haryana, India", Haryana,8
665,2021-02-08 06:48:31,2021,29.44,74.4,24.0,3.5,"100km SSW of Bathinda, Punjab, India", Punjab,8
2605,2019-10-28 08:37:09,2019,28.9,76.8,7.0,3.2,"18km E of Rohtak, Haryana, India", Haryana,8
1725,2020-05-28 16:24:30,2020,28.4,77.4,10.0,2.5,"8km E of Faridabad, Haryana, India", Haryana,8
705,2021-01-26 23:51:36,2021,28.73,76.92,10.0,2.7,"29km ENE of Jhajjar, Haryana", Haryana,8
3,2021-07-30 13:56:31,2021,28.34,76.23,5.0,3.1,"50km SW of Jhajjar, Haryana", Haryana,8
708,2021-01-26 01:21:05,2021,28.59,77.01,5.0,1.9,"14km N of Gurugram, Haryana, India", Haryana,8
669,2021-02-06 08:27:34,2021,28.95,73.52,5.0,3.5,"105km N of Bikaner, Rajasthan, India", Rajasthan,8
2063,2020-03-24 20:16:07,2020,28.6,77.0,6.0,2.0,"15km N of Gurugram, Haryana, India", Haryana,8
1639,2020-06-18 04:18:30,2020,28.81,76.73,5.0,2.1,"15km SE of Rohtak, Haryana, India", Haryana,8
458,2021-03-31 22:41:22,2021,28.82,76.72,10.0,2.4,"13km SE of Rohtak, Haryana, India", Haryana,8
322,2021-04-30 19:44:08,2021,30.64,76.01,10.0,2.9,"74km W of Chandigarh, Chandigarh, India", Chandigarh,8
1711,2020-06-01 04:50:27,2020,28.7,76.7,5.0,1.8,"11km NNE of Jhajjar, Haryana", Haryana,8
1632,2020-06-19 05:37:39,2020,28.84,76.75,5.0,2.3,"15km ESE of Rohtak, Haryana, India", Haryana,8
1710,2020-06-01 18:42:05,2020,28.8,76.7,10.0,3.0,"14km SE of Rohtak, Haryana, India", Haryana,8
1629,2020-06-20 01:52:15,2020,28.76,76.81,10.0,1.8,"23km NE of Jhajjar, Haryana", Haryana,8
916,2020-11-17 06:57:24,2020,25.3,72.73,10.0,3.0,"108km SSW of Jodhpur, Rajasthan, India", Rajasthan,8
829,2020-12-17 11:26:01,2020,27.4,75.43,5.0,3.0,"64km NW of Jaipur, Rajasthan, India", Rajasthan,8
1589,2020-06-27 21:11:23,2020,28.92,76.58,5.0,2.4,"3km NW of Rohtak, Haryana, India", Haryana,8
1850,2020-04-27 19:01:24,2020,30.2,77.5,23.0,2.4,"52km WSW of Dehradun, Uttarakhand, India", Uttarakhand ,8
82,2021-07-05 22:36:54,2021,28.7,76.65,5.0,3.7,"10km N of Jhajjar, Haryana", Haryana,8
1109,2020-10-11 16:00:18,2020,27.31,75.48,5.0,2.2,"53km NW of Jaipur, Rajasthan, India", Rajasthan,8
1373,2020-08-07 00:44:28,2020,27.65,75.76,26.0,3.1,"82km N of Jaipur, Rajasthan, India", Rajasthan,8
2185,2020-02-24 13:23:30,2020,28.9,76.7,6.0,2.4,"9km E of Rohtak, Haryana, India", Haryana,8
860,2020-12-08 00:27:44,2020,28.96,76.99,14.0,3.3,"38km E of Rohtak, Haryana, India", Haryana,8
1378,2020-08-06 01:50:55,2020,28.807,76.719,5.0,2.9,"14km SE of Rohtak, Haryana, India", Haryana,8
2687,2019-09-04 15:30:30,2019,28.0,75.7,16.0,3.8,"115km SW of Jhajjar, Haryana", Haryana,8
1883,2020-04-20 23:30:12,2020,29.5,76.3,5.0,3.1,"73km NNW of Rohtak, Haryana, India", Haryana,8
1966,2020-04-07 11:46:01,2020,29.6,77.6,5.0,2.0,"66km SW of Haridwar, Uttarakhand, India", Uttarakhand ,8
1140,2020-10-05 15:17:40,2020,28.86,76.73,10.0,2.5,"12km ESE of Rohtak, Haryana, India", Haryana,8
1882,2020-04-21 04:34:43,2020,28.9,76.7,10.0,3.2,"9km E of Rohtak, Haryana, India", Haryana,8
2555,2019-11-17 09:34:56,2019,29.0,76.9,6.0,2.7,"30km ENE of Rohtak, Haryana, India", Haryana,8
40,2021-07-18 02:55:14,2021,28.69,76.71,10.0,2.8,"10km NNE of Jhajjar, Haryana", Haryana,8
880,2020-12-02 04:05:01,2020,28.79,77.46,5.0,2.7,"29km NNE of Noida, Uttar Pradesh, India", Uttar Pradesh,8
402,2021-04-15 16:19:22,2021,28.81,76.79,10.0,2.4,"20km ESE of Rohtak, Haryana, India", Haryana,8
1116,2020-10-10 23:00:25,2020,28.78,76.71,8.0,3.0,"16km SE of Rohtak, Haryana, India", Haryana,8
1701,2020-06-03 22:42:29,2020,28.4,77.5,4.0,3.0,"17km E of Faridabad, Haryana, India", Haryana,8
1367,2020-08-08 16:48:37,2020,28.16,77.24,5.0,2.1,"28km SSW of Faridabad, Haryana, India", Haryana,8
745,2021-01-13 19:03:31,2021,28.86,77.49,5.0,2.9,"37km NNE of Noida, Uttar Pradesh, India", Uttar Pradesh,8
2372,2020-01-14 22:35:20,2020,29.6,76.4,10.0,2.8,"61km SW of kurukshetra, Haryana, India", Haryana,8
31,2021-07-21 01:18:07,2021,29.01,76.91,5.0,2.3,"32km ENE of Rohtak, Haryana, India", Haryana,8
1580,2020-06-30 03:14:09,2020,28.83,76.73,5.0,1.8,"14km ESE of Rohtak, Haryana, India", Haryana,8
30,2021-07-21 02:06:28,2021,29.01,76.91,5.0,2.1,"32km ENE of Rohtak, Haryana, India", Haryana,8
1579,2020-06-30 05:46:06,2020,28.86,76.47,8.6,2.4,"13km WSW of Rohtak, Haryana, India", Haryana,8
39,2021-07-18 02:59:02,2021,28.75,76.6,10.0,2.2,"16km S of Rohtak, Haryana, India", Haryana,8
2065,2020-03-24 07:22:24,2020,27.8,76.5,10.0,3.3,"89km SW of Gurugram, Haryana, India", Haryana,8
1823,2020-05-06 02:41:40,2020,28.4,77.4,10.0,2.3,"8km E of Faridabad, Haryana, India", Haryana,8
1890,2020-04-18 17:36:39,2020,28.9,76.7,10.0,2.9,"9km E of Rohtak, Haryana, India", Haryana,8
2096,2020-03-17 05:26:19,2020,26.9,75.3,39.0,3.1,"48km W of Jaipur, Rajasthan, India", Rajasthan,8
1949,2020-04-09 21:57:59,2020,28.6,77.6,15.0,2.4,"21km ENE of Noida, Uttar Pradesh, India", Uttar Pradesh,8
1562,2020-07-03 19:00:50,2020,28.0,76.69,35.0,4.7,"60km SSW of Gurugram, Haryana, India", Haryana,8
2486,2019-12-06 23:08:56,2019,28.6,76.7,10.0,2.0,"4km E of Jhajjar, Haryana", Haryana,8
1985,2020-04-05 06:32:53,2020,29.0,76.7,8.0,2.5,"14km NE of Rohtak, Haryana, India", Haryana,8
435,2021-04-07 03:18:36,2021,31.99,92.84,10.0,4.8,"480km NNW of Basar, Arunachal Pradesh, India", Arunachal Pradesh,9
1948,2020-04-09 23:24:18,2020,32.6,96.3,10.0,4.1,"505km N of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1892,2020-04-18 03:05:37,2020,32.69,97.42,10.0,4.2,"546km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
472,2021-03-28 12:43:29,2021,31.96,92.97,40.0,3.8,"472km NNW of Basar, Arunachal Pradesh, India", Arunachal Pradesh,9
668,2021-02-06 20:24:39,2021,37.9,93.3,10.0,4.2,"1100km N of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1200,2020-09-17 11:41:35,2020,35.53,94.67,10.0,4.8,"823km N of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
2144,2020-03-04 18:58:48,2020,31.4,94.8,140.0,4.1,"365km N of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
434,2021-04-07 03:25:44,2021,32.28,93.26,10.0,4.3,"497km NNW of Basar, Arunachal Pradesh, India", Arunachal Pradesh,9
1963,2020-04-07 16:09:09,2020,29.5,95.4,10.0,4.4,"151km N of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
477,2021-03-26 21:55:12,2021,32.47,93.54,200.0,4.0,"509km NNW of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
2007,2020-04-01 19:11:49,2020,32.5,97.2,10.0,4.2,"518km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
509,2021-03-20 02:33:12,2021,32.42,93.94,80.0,3.8,"492km NNW of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
2008,2020-04-01 17:53:27,2020,33.0,98.8,10.0,5.3,"620km NNE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,9
1087,2020-10-16 23:51:10,2020,32.61,94.24,25.0,4.1,"506km NNW of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
86,2021-07-05 03:18:37,2021,32.89,98.86,120.0,4.6,"610km NNE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,9
511,2021-03-19 23:34:19,2021,31.79,93.05,79.0,4.2,"452km NNW of Basar, Arunachal Pradesh, India", Arunachal Pradesh,9
2705,2019-08-14 13:44:07,2019,29.72,94.18,82.0,4.6,"199km NNW of Basar, Arunachal Pradesh, India", Arunachal Pradesh,9
512,2021-03-19 11:41:32,2021,31.78,92.81,100.0,5.8,"459km NNW of Basar, Arunachal Pradesh, India", Arunachal Pradesh,9
436,2021-04-07 02:03:27,2021,31.28,93.02,10.0,3.8,"400km NNW of Basar, Arunachal Pradesh, India", Arunachal Pradesh,9
502,2021-03-21 03:29:18,2021,32.15,93.47,10.0,3.8,"478km NNW of Basar, Arunachal Pradesh, India", Arunachal Pradesh,9
1978,2020-04-06 05:18:45,2020,32.3,97.2,10.0,4.5,"498km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
493,2021-03-22 22:53:40,2021,31.9,92.79,40.0,4.4,"472km NNW of Basar, Arunachal Pradesh, India", Arunachal Pradesh,9
1130,2020-10-07 18:33:23,2020,29.74,95.78,10.0,4.1,"184km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
75,2021-07-07 15:32:07,2021,31.66,96.56,10.0,3.9,"410km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
71,2021-07-08 18:53:26,2021,34.83,97.83,10.0,4.8,"782km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1735,2020-05-26 01:12:31,2020,31.1,92.62,10.0,4.8,"398km N of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,9
395,2021-04-17 08:54:40,2021,32.3,98.83,10.0,4.6,"548km NNE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,9
479,2021-03-26 05:48:37,2021,35.37,91.17,50.0,4.3,"869km N of Tawang, Arunachal Pradesh, India", Arunachal Pradesh,9
77,2021-07-07 12:57:13,2021,34.68,98.42,22.0,4.5,"785km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
2003,2020-04-02 02:03:38,2020,32.9,97.9,10.0,4.5,"585km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1889,2020-04-18 22:47:43,2020,31.5,93.4,10.0,4.3,"410km NNW of Basar, Arunachal Pradesh, India", Arunachal Pradesh,9
187,2021-05-27 18:36:09,2021,34.55,99.06,30.0,4.8,"791km NNE of Changlang, Arunachal Pradesh, India", Arunachal Pradesh,9
214,2021-05-22 07:59:33,2021,35.02,97.6,10.0,4.7,"795km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
217,2021-05-22 03:29:37,2021,34.56,98.28,10.0,4.7,"768km NNE of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
1405,2020-07-30 19:05:45,2020,30.041,95.095,10.0,4.3,"211km N of Pangin, Arunachal Pradesh, India", Arunachal Pradesh,9
